city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Bahadurgarh,,"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,48,37,,16,,11,47,6,25,,,,,,Realtime
Ballabgarh,,"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,90,206,,20,,5,49,4,7,,,,,,Realtime
Bhiwani,,"H.B. Colony, Bhiwani - HSPCB",28.806223,76.141105,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,65,65,,8,,2,20,13,13,,,,,,Realtime
Faridabad,,"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,83,100,,25,,11,23,14,14,,,,,,Realtime
Faridabad,,"Sector 30, Faridabad - HSPCB",28.4417,77.3217,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,60,,20,,,,,,Realtime
Faridabad,,"Sector 11, Faridabad - HSPCB",28.376058,77.315741,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,88,81,,31,,8,76,5,25,,,,,,Realtime
Fatehabad,,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,36,56,,19,,14,47,29,20,,,,,,Realtime
Delhi,,"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,24,,34,,2,,9,10,,,,,,Realtime
Delhi,,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,20,,4,46,37,17,,,,,,Realtime
Delhi,,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,,,35,,12,49,11,39,,,,,,Realtime
Delhi,,"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,8,23,,14,,2,31,4,10,,,,,,Realtime
Delhi,,"IGI Airport (T3), Delhi - IITM",28.5627763,77.1180053,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,16,26,,31,,,25,,60,,,,,,Realtime
Delhi,,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,12,,4,64,26,42,,,,,,Realtime
Ahmedabad,,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,63,78,,28,,2,21,2,28,,,,,,Realtime
Ahmedabad,,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,84,84,,34,,,62,24,57,,,,,,Realtime
Ahmedabad,,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,48,88,,12,,4,40,11,8,,,,,,Realtime
