city,station,pollutant_id,pollutant_avg,latitude,longitude,last_update
Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",CO,33,27.9002,76.9938,09-07-2026 21:00:00
Manesar,"Sector-2 IMT, Manesar - HSPCB",PM2.5,79,28.360699,76.93609,09-07-2026 21:00:00
Manesar,"Sector-2 IMT, Manesar - HSPCB",PM10,79,28.360699,76.93609,09-07-2026 21:00:00
Manesar,"Sector-2 IMT, Manesar - HSPCB",SO2,8,28.360699,76.93609,09-07-2026 21:00:00
Narnaul,"Shastri Nagar, Narnaul - HSPCB",NH3,8,28.060249,76.113115,09-07-2026 21:00:00
Palwal,"Shyam Nagar, Palwal - HSPCB",PM2.5,38,28.1485564,77.3320667,09-07-2026 21:00:00
Palwal,"Shyam Nagar, Palwal - HSPCB",CO,40,28.1485564,77.3320667,09-07-2026 21:00:00
Palwal,"Shyam Nagar, Palwal - HSPCB",OZONE,16,28.1485564,77.3320667,09-07-2026 21:00:00
Panchgaon,"Amity University, Panchgaon - IITM",NH3,18,28.3153,76.9143,09-07-2026 21:00:00
Panchgaon,"Amity University, Panchgaon - IITM",SO2,7,28.3153,76.9143,09-07-2026 21:00:00
Panchkula,"Sector-6, Panchkula - HSPCB",PM10,,30.7057778,76.8531805555555,09-07-2026 21:00:00
Srinagar,"Rajbagh, Srinagar - JKPCC",SO2,3,34.066206,74.81982,09-07-2026 21:00:00
Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",PM10,74,23.80569,86.44268,09-07-2026 21:00:00
Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",NH3,,23.80569,86.44268,09-07-2026 21:00:00
Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",NO2,8,23.707909,86.41467,09-07-2026 21:00:00
Bagalkot,"Vidayagiri, Bagalkot - KSPCB",NH3,1,16.172806,75.659694,09-07-2026 21:00:00
Bengaluru,"Silk Board, Bengaluru - KSPCB",NH3,3,12.917348,77.622813,09-07-2026 21:00:00
Bengaluru,"BTM Layout, Bengaluru - CPCB",PM2.5,28,12.9135218,77.5950804,09-07-2026 21:00:00
Bengaluru,"BTM Layout, Bengaluru - CPCB",PM10,49,12.9135218,77.5950804,09-07-2026 21:00:00
Bengaluru,"BTM Layout, Bengaluru - CPCB",NH3,4,12.9135218,77.5950804,09-07-2026 21:00:00
Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",NH3,1,12.938539,77.5901,09-07-2026 21:00:00
Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",NH3,1,12.920984,77.584908,09-07-2026 21:00:00
Yadgir,"Collector Office, Yadgir - KSPCB",NO2,,16.7602,77.1428,09-07-2026 21:00:00
Kannur,"Thavakkara, Kannur - Kerala PCB",PM2.5,50,11.875,75.3732,09-07-2026 21:00:00
Kannur,"Thavakkara, Kannur - Kerala PCB",NH3,1,11.875,75.3732,09-07-2026 21:00:00
Kannur,"Thavakkara, Kannur - Kerala PCB",CO,11,11.875,75.3732,09-07-2026 21:00:00
Kollam,"Polayathode, Kollam - Kerala PCB",SO2,3,8.8787,76.6073,09-07-2026 21:00:00
